6-digit activity code,6-digit activity code_text,Activity,AinsworthCode (Best guess),AinsworthMETS,AinsworthMajorHeading,AinsworthSpecific,Travel-related (Y/N),Notes
180802,t180802,Travel related to using financial services and banking,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180803,t180803,Travel related to using legal services,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180804,t180804,Travel related to using medical services,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180805,t180805,Travel related to using personal care services,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180806,t180806,Travel related to using real estate services,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180807,t180807,Travel related to using veterinary services,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180899,t180899,"Travel rel. to using prof. & personal care services, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180901,t180901,Travel related to using household services,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180902,t180902,Travel related to using home main./repair/d_cor./construction svcs,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180903,t180903,Travel related to using pet services (not vet),16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180904,t180904,Travel related to using lawn and garden services,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180905,t180905,Travel related to using vehicle maintenance & repair services,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
180999,t180999,"Travel related to using household services, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181001,t181001,Travel related to using government services,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181002,t181002,Travel related to civic obligations & participation,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181099,t181099,"Travel rel. to govt svcs & civic obligations, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181101,t181101,Travel related to eating and drinking,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181199,t181199,"Travel related to eating and drinking, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181201,t181201,Travel related to socializing and communicating,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181202,t181202,Travel related to attending or hosting social events,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181203,t181203,Travel related to relaxing and leisure,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181204,t181204,Travel related to arts and entertainment,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181205,t181205,Travel as a form of entertainment,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181299,t181299,"Travel rel. to socializing, relaxing, & leisure, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181301,t181301,Travel related to participating in sports/exercise/recreation,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181302,t181302,Travel related to attending sporting/recreational events,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181399,t181399,"Travel related to sports, exercise, & recreation, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181401,t181401,Travel related to religious/spiritual practices,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181499,t181499,"Travel rel. to religious/spiritual activities, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181501,t181501,Travel related to volunteering,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181599,t181599,"Travel related to volunteer activities, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181601,t181601,Travel related to phone calls,16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181699,t181699,"Travel rel. to phone calls, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
181801,t181801,Security procedures related to traveling,9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
181899,t181899,"Security procedures related to traveling, n.e.c.*",9071,2.5,Miscellaneous,"standing, miscellaneous",N,"Likely standing to pass through checkpoints, not much else going on"
189999,t189999,"Traveling, n.e.c.*",16010,2.5,Transportaiton,automobile or light truck (not a semi) driving,Y,Seem to all be plausible in car
500101,t500101,Insufficient detail in verbatim,,,,,,
500103,t500103,Missing travel or destination,,,,,,
500105,t500105,"Respondent refused to provide information/""none of your business""",,,,,,
500106,t500106,Gap/can't remember,,,,,,
500107,t500107,Unable to code activity at 1st tier,,,,,,
509999,t509999,"Data codes, n.e.c.*",,,,,,
